"Notes","Year","Year Code","Age Group","Age Group Code","Sex","Sex Code",Deaths,Population,Crude Rate
"Total","1996","1996","85+ years","85+",,,576541,3794892,15192.554
,"1996","1996","Not Stated","NS","Female","F",150,Not Applicable,Not Applicable
,"1996","1996","Not Stated","NS","Male","M",373,Not Applicable,Not Applicable
"Total","1996","1996","Not Stated","NS",,,523,Not Applicable,Not Applicable
"Total","1996","1996",,,,,2314690,269540779,858.753
,"1997","1997","< 1 year","1","Female","F",12257,1895298,646.706
,"1997","1997","< 1 year","1","Male","M",15788,1985596,795.127
"Total","1997","1997","< 1 year","1",,,28045,3880894,722.643
,"1997","1997","1-4 years","1-4","Female","F",2380,7557654,31.491
,"1997","1997","1-4 years","1-4","Male","M",3121,7923876,39.387
"Total","1997","1997","1-4 years","1-4",,,5501,15481530,35.533
,"1997","1997","5-9 years","5-9","Female","F",1600,9885415,16.185
,"1997","1997","5-9 years","5-9","Male","M",2045,10368617,19.723
"Total","1997","1997","5-9 years","5-9",,,3645,20254032,17.996
,"1997","1997","10-14 years","10-14","Female","F",1698,9557354,17.766
,"1997","1997","10-14 years","10-14","Male","M",2718,10043343,27.063
"Total","1997","1997","10-14 years","10-14",,,4416,19600697,22.530
,"1997","1997","15-19 years","15-19","Female","F",4007,9425166,42.514
,"1997","1997","15-19 years","15-19","Male","M",10265,9972525,102.933
"Total","1997","1997","15-19 years","15-19",,,14272,19397691,73.576
,"1997","1997","20-24 years","20-24","Female","F",4225,8780930,48.116
,"1997","1997","20-24 years","20-24","Male","M",13047,9129146,142.916
"Total","1997","1997","20-24 years","20-24",,,17272,17910076,96.437
,"1997","1997","25-34 years","25-34","Female","F",13831,20568783,67.243
,"1997","1997","25-34 years","25-34","Male","M",31707,20776180,152.612
"Total","1997","1997","25-34 years","25-34",,,45538,41344963,110.142
,"1997","1997","35-44 years","35-44","Female","F",31267,22266278,140.423
,"1997","1997","35-44 years","35-44","Male","M",58141,21962137,264.733
"Total","1997","1997","35-44 years","35-44",,,89408,44228415,202.151
,"1997","1997","45-54 years","45-54","Female","F",54295,17427695,311.544
,"1997","1997","45-54 years","45-54","Male","M",90587,16749813,540.824
"Total","1997","1997","45-54 years","45-54",,,144882,34177508,423.910
,"1997","1997","55-64 years","55-64","Female","F",93117,11534771,807.272
,"1997","1997","55-64 years","55-64","Male","M",138876,10564540,1314.548
"Total","1997","1997","55-64 years","55-64",,,231993,22099311,1049.775
,"1997","1997","65-74 years","65-74","Female","F",200399,10326142,1940.696
,"1997","1997","65-74 years","65-74","Male","M",263875,8357732,3157.256
"Total","1997","1997","65-74 years","65-74",,,464274,18683874,2484.892
,"1997","1997","75-84 years","75-84","Female","F",341139,7206897,4733.507
,"1997","1997","75-84 years","75-84","Male","M",329391,4605314,7152.411
"Total","1997","1997","75-84 years","75-84",,,670530,11812211,5676.583
,"1997","1997","85+ years","85+","Female","F",399907,2805297,14255.425
,"1997","1997","85+ years","85+","Male","M",194161,1100179,17648.128
"Total","1997","1997","85+ years","85+",,,594068,3905476,15211.155
,"1997","1997","Not Stated","NS","Female","F",84,Not Applicable,Not Applicable
,"1997","1997","Not Stated","NS","Male","M",317,Not Applicable,Not Applicable
"Total","1997","1997","Not Stated","NS",,,401,Not Applicable,Not Applicable
"Total","1997","1997",,,,,2314245,272776678,848.403
,"1998","1998","< 1 year","1","Female","F",12585,1925348,653.648
,"1998","1998","< 1 year","1","Male","M",15786,2016205,782.956
"Total","1998","1998","< 1 year","1",,,28371,3941553,719.792
,"1998","1998","1-4 years","1-4","Female","F",2331,7513485,31.024
,"1998","1998","1-4 years","1-4","Male","M",2920,7868629,37.109
"Total","1998","1998","1-4 years","1-4",,,5251,15382114,34.137
,"1998","1998","5-9 years","5-9","Female","F",1492,10006536,14.910
,"1998","1998","5-9 years","5-9","Male","M",2038,10503792,19.403
"Total","1998","1998","5-9 years","5-9",,,3530,20510328,17.211
,"1998","1998","10-14 years","10-14","Female","F",1613,9666862,16.686
,"1998","1998","10-14 years","10-14","Male","M",2648,10158319,26.067
"Total","1998","1998","10-14 years","10-14",,,4261,19825181,21.493
,"1998","1998","15-19 years","15-19","Female","F",3875,9640995,40.193
,"1998","1998","15-19 years","15-19","Male","M",9913,10198737,97.198
"Total","1998","1998","15-19 years","15-19",,,13788,19839732,69.497
,"1998","1998","20-24 years","20-24","Female","F",4035,8901215,45.331
,"1998","1998","20-24 years","20-24","Male","M",12804,9265888,138.184
"Total","1998","1998","20-24 years","20-24",,,16839,18167103,92.690
,"1998","1998","25-34 years","25-34","Female","F",13301,20266518,65.630
,"1998","1998","25-34 years","25-34","Male","M",29215,20489994,142.582
"Total","1998","1998","25-34 years","25-34",,,42516,40756512,104.317
,"1998","1998","35-44 years","35-44","Female","F",31727,22516774,140.904
,"1998","1998","35-44 years","35-44","Male","M",57139,22231580,257.017
"Total","1998","1998","35-44 years","35-44",,,88866,44748354,198.591
,"1998","1998","45-54 years","45-54","Female","F",54752,17958691,304.877
,"1998","1998","45-54 years","45-54","Male","M",91727,17273166,531.038
"Total","1998","1998","45-54 years","45-54",,,146479,35231857,415.757
,"1998","1998","55-64 years","55-64","Female","F",93590,11989847,780.577
,"1998","1998","55-64 years","55-64","Male","M",140134,11021108,1271.506
"Total","1998","1998","55-64 years","55-64",,,233724,23010955,1015.708
,"1998","1998","65-74 years","65-74","Female","F",199639,10236956,1950.179
,"1998","1998","65-74 years","65-74","Male","M",259343,8333291,3112.132
"Total","1998","1998","65-74 years","65-74",,,458982,18570247,2471.599
,"1998","1998","75-84 years","75-84","Female","F",347451,7306166,4755.586
,"1998","1998","75-84 years","75-84","Male","M",334212,4710211,7095.478
"Total","1998","1998","75-84 years","75-84",,,681663,12016377,5672.783
,"1998","1998","85+ years","85+","Female","F",413518,2885710,14329.853
,"1998","1998","85+ years","85+","Male","M",199057,1146825,17357.225
"Total","1998","1998","85+ years","85+",,,612575,4032535,15190.817
,"1998","1998","Not Stated","NS","Female","F",87,Not Applicable,Not Applicable
,"1998","1998","Not Stated","NS","Male","M",324,Not Applicable,Not Applicable
"Total","1998","1998","Not Stated","NS",,,411,Not Applicable,Not Applicable
"Total","1998","1998",,,,,2337256,276032848,846.731
"Total",,,,,,,42868083,4961016600,864.099
"---"
"Dataset: Compressed Mortality, 1979-1998"
"Query Parameters:"
"Group By: Year; Age Group; Sex"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/cmf.html for more information."
"---"
"Query Date: Jun 27, 2026 5:59:35 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality: Compressed Mortality File 1979-1998. CDC WONDER On-line Database, compiled from Compressed Mortality File CMF"
"1968-1988, Series 20, No. 2A, 2000 and CMF 1989-1998, Series 20, No. 2E, 2003. Accessed at http://wonder.cdc.gov/cmf-icd9.html"
"on Jun 27, 2026 5:59:35 AM"
"---"
Caveats:
"1. The population figures used in the calculation of death rates for the age group 'under 1 year' are the live births for the"
"given time period. More information: http://wonder.cdc.gov/wonder/help/cmf.html#Age Group."
"2. Population figures in this table for 1979 and 1981-89 are intercensal estimates of the July 1 resident population of the"
"United States. Note that the state and county population estimates for these years are not consistent with national estimates."
"The population figures in this table for 1980 and 1990 are modified age-race-sex (MARS) April 1 census counts. The population"
"figures for 1991-98 are bridged-race intercensal estimates of the July 1 resident population."
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/cmf.html#Not Stated."
