"Notes","Year","Year Code","Age Group","Age Group Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"1968","1968","< 1 year","1","Female","F",32237,1705238,1890.469
,"1968","1968","< 1 year","1","Male","M",44026,1796326,2450.891
"Total","1968","1968","< 1 year","1",,,76263,3501564,2177.970
,"1968","1968","1-4 years","1-4","Female","F",5761,7140000,80.686
,"1968","1968","1-4 years","1-4","Male","M",7277,7407000,98.245
"Total","1968","1968","1-4 years","1-4",,,13038,14547000,89.627
,"1968","1968","5-9 years","5-9","Female","F",3674,10024000,36.652
,"1968","1968","5-9 years","5-9","Male","M",5401,10390000,51.983
"Total","1968","1968","5-9 years","5-9",,,9075,20414000,44.455
,"1968","1968","10-14 years","10-14","Female","F",3016,9990000,30.190
,"1968","1968","10-14 years","10-14","Male","M",5451,10367000,52.580
"Total","1968","1968","10-14 years","10-14",,,8467,20357000,41.593
,"1968","1968","15-19 years","15-19","Female","F",5436,9013000,60.313
,"1968","1968","15-19 years","15-19","Male","M",14231,9177000,155.072
"Total","1968","1968","15-19 years","15-19",,,19667,18190000,108.120
,"1968","1968","20-24 years","20-24","Female","F",5751,7847000,73.289
,"1968","1968","20-24 years","20-24","Male","M",15722,7208000,218.119
"Total","1968","1968","20-24 years","20-24",,,21473,15055000,142.630
,"1968","1968","25-34 years","25-34","Female","F",12448,12114000,102.757
,"1968","1968","25-34 years","25-34","Male","M",24801,11588000,214.023
"Total","1968","1968","25-34 years","25-34",,,37249,23702000,157.156
,"1968","1968","35-44 years","35-44","Female","F",28880,12123000,238.225
,"1968","1968","35-44 years","35-44","Male","M",46550,11465000,406.018
"Total","1968","1968","35-44 years","35-44",,,75430,23588000,319.781
,"1968","1968","45-54 years","45-54","Female","F",62056,11733000,528.901
,"1968","1968","45-54 years","45-54","Male","M",108706,10995000,988.686
"Total","1968","1968","45-54 years","45-54",,,170762,22728000,751.329
,"1968","1968","55-64 years","55-64","Female","F",106987,9500000,1126.179
,"1968","1968","55-64 years","55-64","Male","M",201289,8587000,2344.113
"Total","1968","1968","55-64 years","55-64",,,308276,18087000,1704.406
,"1968","1968","65-74 years","65-74","Female","F",182610,6812000,2680.711
,"1968","1968","65-74 years","65-74","Male","M",270936,5366000,5049.124
"Total","1968","1968","65-74 years","65-74",,,453546,12178000,3724.306
,"1968","1968","75-84 years","75-84","Female","F",246331,3530000,6978.215
,"1968","1968","75-84 years","75-84","Male","M",246799,2416000,10215.190
"Total","1968","1968","75-84 years","75-84",,,493130,5946000,8293.475
,"1968","1968","85+ years","85+","Female","F",147400,800000,18425.000
,"1968","1968","85+ years","85+","Male","M",95621,440000,21732.045
"Total","1968","1968","85+ years","85+",,,243021,1240000,19598.468
,"1968","1968","Not Stated","NS","Female","F",275,Not Applicable,Not Applicable
,"1968","1968","Not Stated","NS","Male","M",410,Not Applicable,Not Applicable
"Total","1968","1968","Not Stated","NS",,,685,Not Applicable,Not Applicable
"Total","1968","1968",,,,,1930082,199533564,967.297
,"1969","1969","< 1 year","1","Female","F",31793,1753634,1812.978
,"1969","1969","< 1 year","1","Male","M",43280,1846572,2343.802
"Total","1969","1969","< 1 year","1",,,75073,3600206,2085.242
,"1969","1969","1-4 years","1-4","Female","F",5498,6852000,80.239
,"1969","1969","1-4 years","1-4","Male","M",6792,7111000,95.514
"Total","1969","1969","1-4 years","1-4",,,12290,13963000,88.018
,"1969","1969","5-9 years","5-9","Female","F",3566,9932000,35.904
,"1969","1969","5-9 years","5-9","Male","M",5335,10310000,51.746
"Total","1969","1969","5-9 years","5-9",,,8901,20242000,43.973
,"1969","1969","10-14 years","10-14","Female","F",3135,10128000,30.954
,"1969","1969","10-14 years","10-14","Male","M",5395,10513000,51.317
"Total","1969","1969","10-14 years","10-14",,,8530,20641000,41.326
