"Notes","Year","Year Code","Age Group","Age Group Code","Sex","Sex Code",Deaths,Population,Crude Rate
,"1969","1969","15-19 years","15-19","Female","F",5825,9234000,63.082
,"1969","1969","15-19 years","15-19","Male","M",15316,9387000,163.162
"Total","1969","1969","15-19 years","15-19",,,21141,18621000,113.533
,"1969","1969","20-24 years","20-24","Female","F",6093,8187000,74.423
,"1969","1969","20-24 years","20-24","Male","M",17188,7580000,226.755
"Total","1969","1969","20-24 years","20-24",,,23281,15767000,147.656
,"1969","1969","25-34 years","25-34","Female","F",12789,12464000,102.608
,"1969","1969","25-34 years","25-34","Male","M",25935,11942000,217.175
"Total","1969","1969","25-34 years","25-34",,,38724,24406000,158.666
,"1969","1969","35-44 years","35-44","Female","F",28316,11947000,237.013
,"1969","1969","35-44 years","35-44","Male","M",46394,11295000,410.748
"Total","1969","1969","35-44 years","35-44",,,74710,23242000,321.444
,"1969","1969","45-54 years","45-54","Female","F",61076,11906000,512.985
,"1969","1969","45-54 years","45-54","Male","M",107548,11112000,967.855
"Total","1969","1969","45-54 years","45-54",,,168624,23018000,732.575
,"1969","1969","55-64 years","55-64","Female","F",105939,9678000,1094.637
,"1969","1969","55-64 years","55-64","Male","M",199565,8711000,2290.954
"Total","1969","1969","55-64 years","55-64",,,305504,18389000,1661.341
,"1969","1969","65-74 years","65-74","Female","F",180578,6905000,2615.177
,"1969","1969","65-74 years","65-74","Male","M",266286,5396000,4934.878
"Total","1969","1969","65-74 years","65-74",,,446864,12301000,3632.745
,"1969","1969","75-84 years","75-84","Female","F",246015,3631000,6775.406
,"1969","1969","75-84 years","75-84","Male","M",245666,2440000,10068.279
"Total","1969","1969","75-84 years","75-84",,,491681,6071000,8098.847
,"1969","1969","85+ years","85+","Female","F",150182,848000,17710.142
,"1969","1969","85+ years","85+","Male","M",95819,459000,20875.599
"Total","1969","1969","85+ years","85+",,,246001,1307000,18821.806
,"1969","1969","Not Stated","NS","Female","F",259,Not Applicable,Not Applicable
,"1969","1969","Not Stated","NS","Male","M",407,Not Applicable,Not Applicable
"Total","1969","1969","Not Stated","NS",,,666,Not Applicable,Not Applicable
"Total","1969","1969",,,,,1921990,201568206,953.518
,"1970","1970","< 1 year","1","Female","F",31820,1816008,1752.195
,"1970","1970","< 1 year","1","Male","M",42847,1915378,2237.000
"Total","1970","1970","< 1 year","1",,,74667,3731386,2001.053
,"1970","1970","1-4 years","1-4","Female","F",5054,6701476,75.416
,"1970","1970","1-4 years","1-4","Male","M",6494,6967584,93.203
"Total","1970","1970","1-4 years","1-4",,,11548,13669060,84.483
,"1970","1970","5-9 years","5-9","Female","F",3347,9787751,34.196
,"1970","1970","5-9 years","5-9","Male","M",5054,10168496,49.703
"Total","1970","1970","5-9 years","5-9",,,8401,19956247,42.097
,"1970","1970","10-14 years","10-14","Female","F",3009,10198731,29.504
,"1970","1970","10-14 years","10-14","Male","M",5437,10590737,51.337
"Total","1970","1970","10-14 years","10-14",,,8446,20789468,40.626
,"1970","1970","15-19 years","15-19","Female","F",5822,9436501,61.697
,"1970","1970","15-19 years","15-19","Male","M",15207,9633847,157.850
"Total","1970","1970","15-19 years","15-19",,,21029,19070348,110.271
,"1970","1970","20-24 years","20-24","Female","F",6363,8453752,75.268
,"1970","1970","20-24 years","20-24","Male","M",17869,7917269,225.697
"Total","1970","1970","20-24 years","20-24",,,24232,16371021,148.018
,"1970","1970","25-34 years","25-34","Female","F",12894,12690072,101.607
,"1970","1970","25-34 years","25-34","Male","M",26299,12217357,215.259
"Total","1970","1970","25-34 years","25-34",,,39193,24907429,157.355
,"1970","1970","35-44 years","35-44","Female","F",27399,11856569,231.087
,"1970","1970","35-44 years","35-44","Male","M",45218,11231236,402.609
"Total","1970","1970","35-44 years","35-44",,,72617,23087805,314.525
,"1970","1970","45-54 years","45-54","Female","F",62176,12020707,517.241
,"1970","1970","45-54 years","45-54","Male","M",107341,11199250,958.466
"Total","1970","1970","45-54 years","45-54",,,169517,23219957,730.049
,"1970","1970","55-64 years","55-64","Female","F",107662,9797019,1098.926
,"1970","1970","55-64 years","55-64","Male","M",200711,8792793,2282.676
"Total","1970","1970","55-64 years","55-64",,,308373,18589812,1658.828
,"1970","1970","65-74 years","65-74","Female","F",180536,6998372,2579.686
,"1970","1970","65-74 years","65-74","Male","M",264995,5437084,4873.844
"Total","1970","1970","65-74 years","65-74",,,445531,12435456,3582.748
,"1970","1970","75-84 years","75-84","Female","F",245930,3682900,6677.618
,"1970","1970","75-84 years","75-84","Male","M",243873,2436245,10010.200
"Total","1970","1970","75-84 years","75-84",,,489803,6119145,8004.435
,"1970","1970","85+ years","85+","Female","F",150295,968522,15517.975
,"1970","1970","85+ years","85+","Male","M",96660,542379,17821.486
"Total","1970","1970","85+ years","85+",,,246955,1510901,16344.883
,"1970","1970","Not Stated","NS","Female","F",246,Not Applicable,Not Applicable
,"1970","1970","Not Stated","NS","Male","M",473,Not Applicable,Not Applicable
"Total","1970","1970","Not Stated","NS",,,719,Not Applicable,Not Applicable
"Total","1970","1970",,,,,1921031,203458035,944.190
,"1971","1971","< 1 year","1","Female","F",28883,1733060,1666.590
,"1971","1971","< 1 year","1","Male","M",39098,1822910,2144.812
"Total","1971","1971","< 1 year","1",,,67981,3555970,1911.743
,"1971","1971","1-4 years","1-4","Female","F",4934,6689000,73.763
,"1971","1971","1-4 years","1-4","Male","M",6297,6954000,90.552
"Total","1971","1971","1-4 years","1-4",,,11231,13643000,82.321
,"1971","1971","5-9 years","5-9","Female","F",3304,9510000,34.742
,"1971","1971","5-9 years","5-9","Male","M",4851,9886000,49.069
"Total","1971","1971","5-9 years","5-9",,,8155,19396000,42.045
,"1971","1971","10-14 years","10-14","Female","F",3108,10346000,30.041
,"1971","1971","10-14 years","10-14","Male","M",5317,10749000,49.465
"Total","1971","1971","10-14 years","10-14",,,8425,21095000,39.938
,"1971","1971","15-19 years","15-19","Female","F",6048,9740000,62.094
,"1971","1971","15-19 years","15-19","Male","M",15696,9975000,157.353
"Total","1971","1971","15-19 years","15-19",,,21744,19715000,110.292
,"1971","1971","20-24 years","20-24","Female","F",6563,9027000,72.704
,"1971","1971","20-24 years","20-24","Male","M",18889,8676000,217.716
"Total","1971","1971","20-24 years","20-24",,,25452,17703000,143.772
,"1971","1971","25-34 years","25-34","Female","F",13141,13097000,100.336
,"1971","1971","25-34 years","25-34","Male","M",26991,12673000,212.980
"Total","1971","1971","25-34 years","25-34",,,40132,25770000,155.731
,"1971","1971","35-44 years","35-44","Female","F",26609,11727000,226.904
,"1971","1971","35-44 years","35-44","Male","M",43714,11151000,392.019
"Total","1971","1971","35-44 years","35-44",,,70323,22878000,307.383
,"1971","1971","45-54 years","45-54","Female","F",61341,12179000,503.662
,"1971","1971","45-54 years","45-54","Male","M",105558,11325000,932.079
"Total","1971","1971","45-54 years","45-54",,,166899,23504000,710.088
,"1971","1971","55-64 years","55-64","Female","F",107893,10013000,1077.529
,"1971","1971","55-64 years","55-64","Male","M",198776,8949000,2221.209
"Total","1971","1971","55-64 years","55-64",,,306669,18962000,1617.282
,"1971","1971","65-74 years","65-74","Female","F",178278,7146000,2494.794
,"1971","1971","65-74 years","65-74","Male","M",263495,5537000,4758.804
"Total","1971","1971","65-74 years","65-74",,,441773,12683000,3483.190
,"1971","1971","75-84 years","75-84","Female","F",250091,3879000,6447.306
,"1971","1971","75-84 years","75-84","Male","M",246687,2512000,9820.342
"Total","1971","1971","75-84 years","75-84",,,496778,6391000,7773.087
,"1971","1971","85+ years","85+","Female","F",159725,977000,16348.516
,"1971","1971","85+ years","85+","Male","M",101497,510000,19901.373
"Total","1971","1971","85+ years","85+",,,261222,1487000,17567.048
,"1971","1971","Not Stated","NS","Female","F",292,Not Applicable,Not Applicable
,"1971","1971","Not Stated","NS","Male","M",466,Not Applicable,Not Applicable
"Total","1971","1971","Not Stated","NS",,,758,Not Applicable,Not Applicable
"Total","1971","1971",,,,,1927542,206782970,932.157
,"1972","1972","< 1 year","1","Female","F",25472,1588484,1603.541
,"1972","1972","< 1 year","1","Male","M",34710,1669927,2078.534
"Total","1972","1972","< 1 year","1",,,60182,3258411,1846.974
,"1972","1972","1-4 years","1-4","Female","F",4800,6757000,71.037
,"1972","1972","1-4 years","1-4","Male","M",6294,7039000,89.416
"Total","1972","1972","1-4 years","1-4",,,11094,13796000,80.415
,"1972","1972","5-9 years","5-9","Female","F",3202,9241000,34.650
,"1972","1972","5-9 years","5-9","Male","M",4482,9606000,46.658
"Total","1972","1972","5-9 years","5-9",,,7684,18847000,40.770
,"1972","1972","10-14 years","10-14","Female","F",3102,10347000,29.980
,"1972","1972","10-14 years","10-14","Male","M",5418,10752000,50.391
"Total","1972","1972","10-14 years","10-14",,,8520,21099000,40.381
,"1972","1972","15-19 years","15-19","Female","F",6092,9988000,60.993
,"1972","1972","15-19 years","15-19","Male","M",16226,10236000,158.519
"Total","1972","1972","15-19 years","15-19",,,22318,20224000,110.354
,"1972","1972","20-24 years","20-24","Female","F",6620,9021000,73.384
,"1972","1972","20-24 years","20-24","Male","M",19400,8845000,219.333
"Total","1972","1972","20-24 years","20-24",,,26020,17866000,145.640
,"1972","1972","25-34 years","25-34","Female","F",13482,13920000,96.853
,"1972","1972","25-34 years","25-34","Male","M",28426,13543000,209.894
"Total","1972","1972","25-34 years","25-34",,,41908,27463000,152.598
,"1972","1972","35-44 years","35-44","Female","F",25882,11659000,221.992
,"1972","1972","35-44 years","35-44","Male","M",42910,11120000,385.881
"Total","1972","1972","35-44 years","35-44",,,68792,22779000,301.997
,"1972","1972","45-54 years","45-54","Female","F",60878,12271000,496.113
,"1972","1972","45-54 years","45-54","Male","M",107344,11403000,941.366
"Total","1972","1972","45-54 years","45-54",,,168222,23674000,710.577
,"1972","1972","55-64 years","55-64","Female","F",108966,10160000,1072.500
,"1972","1972","55-64 years","55-64","Male","M",202556,9051000,2237.941
"Total","1972","1972","55-64 years","55-64",,,311522,19211000,1621.581
,"1972","1972","65-74 years","65-74","Female","F",184126,7295000,2524.003
,"1972","1972","65-74 years","65-74","Male","M",270884,5627000,4814.004
"Total","1972","1972","65-74 years","65-74",,,455010,12922000,3521.204
,"1972","1972","75-84 years","75-84","Female","F",257912,4006000,6438.143
,"1972","1972","75-84 years","75-84","Male","M",253708,2550000,9949.333
"Total","1972","1972","75-84 years","75-84",,,511620,6556000,7803.844
,"1972","1972","85+ years","85+","Female","F",167048,1020000,16377.255
,"1972","1972","85+ years","85+","Male","M",103466,522000,19821.073
"Total","1972","1972","85+ years","85+",,,270514,1542000,17543.061
,"1972","1972","Not Stated","NS","Female","F",164,Not Applicable,Not Applicable
,"1972","1972","Not Stated","NS","Male","M",374,Not Applicable,Not Applicable
"Total","1972","1972","Not Stated","NS",,,538,Not Applicable,Not Applicable
"Total","1972","1972",,,,,1963944,209237411,938.620
,"1973","1973","< 1 year","1","Female","F",23595,1528639,1543.530
,"1973","1973","< 1 year","1","Male","M",31986,1608326,1988.776
"Total","1973","1973","< 1 year","1",,,55581,3136965,1771.808
,"1973","1973","1-4 years","1-4","Female","F",4665,6720000,69.420
,"1973","1973","1-4 years","1-4","Male","M",6178,7003000,88.219
"Total","1973","1973","1-4 years","1-4",,,10843,13723000,79.013
,"1973","1973","5-9 years","5-9","Female","F",3052,8961000,34.059
,"1973","1973","5-9 years","5-9","Male","M",4462,9318000,47.886
"Total","1973","1973","5-9 years","5-9",,,7514,18279000,41.107
,"1973","1973","10-14 years","10-14","Female","F",2988,10310000,28.982
,"1973","1973","10-14 years","10-14","Male","M",5480,10720000,51.119
"Total","1973","1973","10-14 years","10-14",,,8468,21030000,40.266
,"1973","1973","15-19 years","15-19","Female","F",6185,10193000,60.679
,"1973","1973","15-19 years","15-19","Male","M",16723,10453000,159.983
"Total","1973","1973","15-19 years","15-19",,,22908,20646000,110.956
,"1973","1973","20-24 years","20-24","Female","F",6593,9198000,71.679
,"1973","1973","20-24 years","20-24","Male","M",19956,9075000,219.901
"Total","1973","1973","20-24 years","20-24",,,26549,18273000,145.291
,"1973","1973","25-34 years","25-34","Female","F",13601,14570000,93.349
,"1973","1973","25-34 years","25-34","Male","M",30116,14217000,211.831
"Total","1973","1973","25-34 years","25-34",,,43717,28787000,151.864
,"1973","1973","35-44 years","35-44","Female","F",25127,11629000,216.072
,"1973","1973","35-44 years","35-44","Male","M",42160,11111000,379.444
"Total","1973","1973","35-44 years","35-44",,,67287,22740000,295.897
,"1973","1973","45-54 years","45-54","Female","F",60745,12336000,492.421
,"1973","1973","45-54 years","45-54","Male","M",105271,11461000,918.515
"Total","1973","1973","45-54 years","45-54",,,166016,23797000,697.634
,"1973","1973","55-64 years","55-64","Female","F",109801,10285000,1067.584
,"1973","1973","55-64 years","55-64","Male","M",200776,9142000,2196.193
"Total","1973","1973","55-64 years","55-64",,,310577,19427000,1598.687
,"1973","1973","65-74 years","65-74","Female","F",182602,7491000,2437.618
,"1973","1973","65-74 years","65-74","Male","M",272059,5755000,4727.350
"Total","1973","1973","65-74 years","65-74",,,454661,13246000,3432.440
,"1973","1973","75-84 years","75-84","Female","F",260926,4103000,6359.396
,"1973","1973","75-84 years","75-84","Male","M",253310,2567000,9867.939
"Total","1973","1973","75-84 years","75-84",,,514236,6670000,7709.685
,"1973","1973","85+ years","85+","Female","F",176139,1069000,16476.988
,"1973","1973","85+ years","85+","Male","M",107961,538000,20067.100
"Total","1973","1973","85+ years","85+",,,284100,1607000,17678.905
,"1973","1973","Not Stated","NS","Female","F",189,Not Applicable,Not Applicable
,"1973","1973","Not Stated","NS","Male","M",357,Not Applicable,Not Applicable
"Total","1973","1973","Not Stated","NS",,,546,Not Applicable,Not Applicable
"Total","1973","1973",,,,,1973003,211361965,933.471
,"1974","1974","< 1 year","1","Female","F",22471,1537844,1461.202
,"1974","1974","< 1 year","1","Male","M",30305,1622114,1868.241
"Total","1974","1974","< 1 year","1",,,52776,3159958,1670.149
,"1974","1974","1-4 years","1-4","Female","F",4244,6569000,64.606
,"1974","1974","1-4 years","1-4","Male","M",5587,6852000,81.538
"Total","1974","1974","1-4 years","1-4",,,9831,13421000,73.251
,"1974","1974","5-9 years","5-9","Female","F",2613,8730000,29.931
,"1974","1974","5-9 years","5-9","Male","M",4014,9075000,44.231
"Total","1974","1974","5-9 years","5-9",,,6627,17805000,37.220
,"1974","1974","10-14 years","10-14","Female","F",2859,10243000,27.912
,"1974","1974","10-14 years","10-14","Male","M",5150,10668000,48.275
"Total","1974","1974","10-14 years","10-14",,,8009,20911000,38.300
,"1974","1974","15-19 years","15-19","Female","F",5753,10349000,55.590
,"1974","1974","15-19 years","15-19","Male","M",16229,10629000,152.686
"Total","1974","1974","15-19 years","15-19",,,21982,20978000,104.786
,"1974","1974","20-24 years","20-24","Female","F",6321,9415000,67.138
,"1974","1974","20-24 years","20-24","Male","M",19500,9344000,208.690
"Total","1974","1974","20-24 years","20-24",,,25821,18759000,137.646
,"1974","1974","25-34 years","25-34","Female","F",13485,15211000,88.653
,"1974","1974","25-34 years","25-34","Male","M",29983,14861000,201.756
"Total","1974","1974","25-34 years","25-34",,,43468,30072000,144.546
,"1974","1974","35-44 years","35-44","Female","F",23641,11633000,203.224
,"1974","1974","35-44 years","35-44","Male","M",39758,11123000,357.440
"Total","1974","1974","35-44 years","35-44",,,63399,22756000,278.603
,"1974","1974","45-54 years","45-54","Female","F",58340,12336000,472.925
,"1974","1974","45-54 years","45-54","Male","M",102393,11465000,893.092
"Total","1974","1974","45-54 years","45-54",,,160733,23801000,675.320
,"1974","1974","55-64 years","55-64","Female","F",107672,10447000,1030.650
,"1974","1974","55-64 years","55-64","Male","M",194525,9265000,2099.568
"Total","1974","1974","55-64 years","55-64",,,302197,19712000,1533.061
,"1974","1974","65-74 years","65-74","Female","F",180689,7685000,2351.191
,"1974","1974","65-74 years","65-74","Male","M",269772,5890000,4580.170
"Total","1974","1974","65-74 years","65-74",,,450461,13575000,3318.313
,"1974","1974","75-84 years","75-84","Female","F",255077,4196000,6079.051
,"1974","1974","75-84 years","75-84","Male","M",245162,2585000,9484.023
"Total","1974","1974","75-84 years","75-84",,,500239,6781000,7377.068
,"1974","1974","85+ years","85+","Female","F",179419,1141000,15724.715
,"1974","1974","85+ years","85+","Male","M",108913,565000,19276.637
"Total","1974","1974","85+ years","85+",,,288332,1706000,16901.055
,"1974","1974","Not Stated","NS","Female","F",177,Not Applicable,Not Applicable
,"1974","1974","Not Stated","NS","Male","M",336,Not Applicable,Not Applicable
"Total","1974","1974","Not Stated","NS",,,513,Not Applicable,Not Applicable
"Total","1974","1974",,,,,1934388,213436958,906.304
,"1975","1975","< 1 year","1","Female","F",21713,1531063,1418.165
,"1975","1975","< 1 year","1","Male","M",28812,1613135,1786.087
"Total","1975","1975","< 1 year","1",,,50525,3144198,1606.928
,"1975","1975","1-4 years","1-4","Female","F",3974,6342000,62.662
,"1975","1975","1-4 years","1-4","Male","M",5086,6627000,76.747
"Total","1975","1975","1-4 years","1-4",,,9060,12969000,69.859
,"1975","1975","5-9 years","5-9","Female","F",2468,8623000,28.621
,"1975","1975","5-9 years","5-9","Male","M",3717,8972000,41.429
"Total","1975","1975","5-9 years","5-9",,,6185,17595000,35.152
,"1975","1975","10-14 years","10-14","Female","F",2560,10112000,25.316
,"1975","1975","10-14 years","10-14","Male","M",4734,10534000,44.940
"Total","1975","1975","10-14 years","10-14",,,7294,20646000,35.329
,"1975","1975","15-19 years","15-19","Female","F",5630,10465000,53.798
,"1975","1975","15-19 years","15-19","Male","M",15637,10757000,145.366
"Total","1975","1975","15-19 years","15-19",,,21267,21222000,100.212
,"1975","1975","20-24 years","20-24","Female","F",6407,9677000,66.209
,"1975","1975","20-24 years","20-24","Male","M",19871,9640000,206.131
"Total","1975","1975","20-24 years","20-24",,,26278,19317000,136.036
,"1975","1975","25-34 years","25-34","Female","F",13244,15833000,83.648
,"1975","1975","25-34 years","25-34","Male","M",30796,15482000,198.915
"Total","1975","1975","25-34 years","25-34",,,44040,31315000,140.635
,"1975","1975","35-44 years","35-44","Female","F",22256,11631000,191.351
,"1975","1975","35-44 years","35-44","Male","M",38436,11129000,345.368
"Total","1975","1975","35-44 years","35-44",,,60692,22760000,266.661
,"1975","1975","45-54 years","45-54","Female","F",56025,12307000,455.229
,"1975","1975","45-54 years","45-54","Male","M",98317,11441000,859.339
"Total","1975","1975","45-54 years","45-54",,,154342,23748000,649.916
,"1975","1975","55-64 years","55-64","Female","F",105622,10629000,993.715
,"1975","1975","55-64 years","55-64","Male","M",190102,9416000,2018.925
"Total","1975","1975","55-64 years","55-64",,,295724,20045000,1475.301
,"1975","1975","65-74 years","65-74","Female","F",176300,7880000,2237.310
,"1975","1975","65-74 years","65-74","Male","M",266196,6037000,4409.409
"Total","1975","1975","65-74 years","65-74",,,442496,13917000,3179.536
,"1975","1975","75-84 years","75-84","Female","F",248332,4324000,5743.108
,"1975","1975","75-84 years","75-84","Male","M",241126,2634000,9154.366
"Total","1975","1975","75-84 years","75-84",,,489458,6958000,7034.464
,"1975","1975","85+ years","85+","Female","F",177357,1227000,14454.523
,"1975","1975","85+ years","85+","Male","M",107720,594000,18134.680
"Total","1975","1975","85+ years","85+",,,285077,1821000,15654.970
,"1975","1975","Not Stated","NS","Female","F",172,Not Applicable,Not Applicable
,"1975","1975","Not Stated","NS","Male","M",269,Not Applicable,Not Applicable
"Total","1975","1975","Not Stated","NS",,,441,Not Applicable,Not Applicable
"Total","1975","1975",,,,,1892879,215457198,878.541
,"1976","1976","< 1 year","1","Female","F",20945,1543352,1357.111
,"1976","1976","< 1 year","1","Male","M",27320,1624436,1681.814
"Total","1976","1976","< 1 year","1",,,48265,3167788,1523.618
,"1976","1976","1-4 years","1-4","Female","F",3691,6114000,60.370
,"1976","1976","1-4 years","1-4","Male","M",4915,6388000,76.941
"Total","1976","1976","1-4 years","1-4",,,8606,12502000,68.837
,"1976","1976","5-9 years","5-9","Female","F",2408,8655000,27.822
,"1976","1976","5-9 years","5-9","Male","M",3626,9017000,40.213
"Total","1976","1976","5-9 years","5-9",,,6034,17672000,34.144
,"1976","1976","10-14 years","10-14","Female","F",2425,9837000,24.652
,"1976","1976","10-14 years","10-14","Male","M",4442,10251000,43.332
"Total","1976","1976","10-14 years","10-14",,,6867,20088000,34.185
,"1976","1976","15-19 years","15-19","Female","F",5560,10582000,52.542
,"1976","1976","15-19 years","15-19","Male","M",15001,10896000,137.674
"Total","1976","1976","15-19 years","15-19",,,20561,21478000,95.731
,"1976","1976","20-24 years","20-24","Female","F",6268,9901000,63.307
,"1976","1976","20-24 years","20-24","Male","M",19252,9893000,194.602
"Total","1976","1976","20-24 years","20-24",,,25520,19794000,128.928
,"1976","1976","25-34 years","25-34","Female","F",13267,16474000,80.533
,"1976","1976","25-34 years","25-34","Male","M",30162,16131000,186.982
"Total","1976","1976","25-34 years","25-34",,,43429,32605000,133.197
,"1976","1976","35-44 years","35-44","Female","F",21309,11764000,181.137
,"1976","1976","35-44 years","35-44","Male","M",37160,11267000,329.813
"Total","1976","1976","35-44 years","35-44",,,58469,23031000,253.871
,"1976","1976","45-54 years","45-54","Female","F",54712,12236000,447.140
,"1976","1976","45-54 years","45-54","Male","M",95324,11379000,837.719
"Total","1976","1976","45-54 years","45-54",,,150036,23615000,635.342
,"1976","1976","55-64 years","55-64","Female","F",106365,10812000,983.768
,"1976","1976","55-64 years","55-64","Male","M",189695,9573000,1981.563
"Total","1976","1976","55-64 years","55-64",,,296060,20385000,1452.342
,"1976","1976","65-74 years","65-74","Female","F",176461,8062000,2188.799
,"1976","1976","65-74 years","65-74","Male","M",267466,6175000,4331.433
"Total","1976","1976","65-74 years","65-74",,,443927,14237000,3118.122
,"1976","1976","75-84 years","75-84","Female","F",252526,4455000,5668.373
,"1976","1976","75-84 years","75-84","Male","M",244193,2690000,9077.807
"Total","1976","1976","75-84 years","75-84",,,496719,7145000,6951.980
,"1976","1976","85+ years","85+","Female","F",191353,1290000,14833.566
,"1976","1976","85+ years","85+","Male","M",113119,606000,18666.502
"Total","1976","1976","85+ years","85+",,,304472,1896000,16058.650
,"1976","1976","Not Stated","NS","Female","F",167,Not Applicable,Not Applicable
,"1976","1976","Not Stated","NS","Male","M",308,Not Applicable,Not Applicable
"Total","1976","1976","Not Stated","NS",,,475,Not Applicable,Not Applicable
"Total","1976","1976",,,,,1909440,217615788,877.436
,"1977","1977","< 1 year","1","Female","F",20100,1620716,1240.193
,"1977","1977","< 1 year","1","Male","M",26875,1705916,1575.400
"Total","1977","1977","< 1 year","1",,,46975,3326632,1412.089
,"1977","1977","1-4 years","1-4","Female","F",3587,6006000,59.724
,"1977","1977","1-4 years","1-4","Male","M",4720,6279000,75.171
"Total","1977","1977","1-4 years","1-4",,,8307,12285000,67.619
,"1977","1977","5-9 years","5-9","Female","F",2278,8581000,26.547
,"1977","1977","5-9 years","5-9","Male","M",3556,8949000,39.736
"Total","1977","1977","5-9 years","5-9",,,5834,17530000,33.280
,"1977","1977","10-14 years","10-14","Female","F",2401,9550000,25.141
,"1977","1977","10-14 years","10-14","Male","M",4344,9954000,43.641
"Total","1977","1977","10-14 years","10-14",,,6745,19504000,34.583
,"1977","1977","15-19 years","15-19","Female","F",5870,10581000,55.477
,"1977","1977","15-19 years","15-19","Male","M",15573,10895000,142.937
"Total","1977","1977","15-19 years","15-19",,,21443,21476000,99.846
,"1977","1977","20-24 years","20-24","Female","F",6496,10152000,63.987
,"1977","1977","20-24 years","20-24","Male","M",20047,10159000,197.332
"Total","1977","1977","20-24 years","20-24",,,26543,20311000,130.683
,"1977","1977","25-34 years","25-34","Female","F",13355,17085000,78.168
,"1977","1977","25-34 years","25-34","Male","M",31578,16756000,188.458
"Total","1977","1977","25-34 years","25-34",,,44933,33841000,132.777
,"1977","1977","35-44 years","35-44","Female","F",21157,11996000,176.367
,"1977","1977","35-44 years","35-44","Male","M",36952,11504000,321.210
"Total","1977","1977","35-44 years","35-44",,,58109,23500000,247.272
