"Notes","Year","Year Code","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"2022","2022","30 years","30","Male","M",5517,2378345,231.968,225.847,238.089
"Total","2022","2022","30 years","30",,,7792,4672812,166.752,163.049,170.454
,"2022","2022","31 years","31","Female","F",2480,2332395,106.328,102.144,110.513
,"2022","2022","31 years","31","Male","M",5790,2406868,240.562,234.365,246.758
"Total","2022","2022","31 years","31",,,8270,4739263,174.500,170.739,178.261
,"2022","2022","32 years","32","Female","F",2611,2340646,111.550,107.272,115.829
,"2022","2022","32 years","32","Male","M",6238,2410880,258.744,252.323,265.165
"Total","2022","2022","32 years","32",,,8849,4751526,186.235,182.355,190.115
,"2022","2022","33 years","33","Female","F",2794,2272102,122.970,118.410,127.530
,"2022","2022","33 years","33","Male","M",6298,2342421,268.867,262.227,275.507
"Total","2022","2022","33 years","33",,,9092,4614523,197.030,192.980,201.080
,"2022","2022","34 years","34","Female","F",2880,2231706,129.049,124.336,133.762
,"2022","2022","34 years","34","Male","M",6191,2298306,269.372,262.662,276.082
"Total","2022","2022","34 years","34",,,9071,4530012,200.242,196.121,204.363
,"2022","2022","35 years","35","Female","F",2880,2201295,130.832,126.054,135.610
,"2022","2022","35 years","35","Male","M",6247,2275255,274.563,267.754,281.371
"Total","2022","2022","35 years","35",,,9127,4476550,203.885,199.702,208.068
,"2022","2022","36 years","36","Female","F",3142,2203445,142.595,137.609,147.581
,"2022","2022","36 years","36","Male","M",6676,2279725,292.842,285.818,299.867
"Total","2022","2022","36 years","36",,,9818,4483170,218.997,214.665,223.329
,"2022","2022","37 years","37","Female","F",3295,2204702,149.453,144.350,154.556
,"2022","2022","37 years","37","Male","M",6890,2274047,302.984,295.830,310.138
"Total","2022","2022","37 years","37",,,10185,4478749,227.407,222.991,231.824
,"2022","2022","38 years","38","Female","F",3500,2161619,161.916,156.551,167.280
,"2022","2022","38 years","38","Male","M",6770,2221480,304.752,297.492,312.011
"Total","2022","2022","38 years","38",,,10270,4383099,234.309,229.777,238.841
,"2022","2022","39 years","39","Female","F",3778,2194588,172.151,166.661,177.640
,"2022","2022","39 years","39","Male","M",7294,2251793,323.920,316.486,331.353
"Total","2022","2022","39 years","39",,,11072,4446381,249.011,244.373,253.650
,"2022","2022","40 years","40","Female","F",4002,2192925,182.496,176.842,188.150
,"2022","2022","40 years","40","Male","M",7514,2245861,334.571,327.006,342.136
"Total","2022","2022","40 years","40",,,11516,4438786,259.440,254.702,264.179
,"2022","2022","41 years","41","Female","F",4156,2162758,192.162,186.320,198.004
,"2022","2022","41 years","41","Male","M",7835,2212461,354.131,346.289,361.972
"Total","2022","2022","41 years","41",,,11991,4375219,274.066,269.161,278.972
,"2022","2022","42 years","42","Female","F",4363,2154948,202.464,196.457,208.472
,"2022","2022","42 years","42","Male","M",7933,2201177,360.398,352.467,368.329
"Total","2022","2022","42 years","42",,,12296,4356125,282.269,277.280,287.258
,"2022","2022","43 years","43","Female","F",4478,2072048,216.115,209.785,222.445
,"2022","2022","43 years","43","Male","M",7988,2103878,379.680,371.353,388.006
"Total","2022","2022","43 years","43",,,12466,4175926,298.521,293.280,303.761
,"2022","2022","44 years","44","Female","F",4525,2026848,223.253,216.748,229.758
,"2022","2022","44 years","44","Male","M",8339,2054512,405.887,397.175,414.599
"Total","2022","2022","44 years","44",,,12864,4081360,315.189,309.742,320.636
,"2022","2022","45 years","45","Female","F",4742,2006186,236.369,229.641,243.097
,"2022","2022","45 years","45","Male","M",8429,2022952,416.668,407.773,425.564
"Total","2022","2022","45 years","45",,,13171,4029138,326.894,321.311,332.477
,"2022","2022","46 years","46","Female","F",4912,1937381,253.538,246.448,260.629
,"2022","2022","46 years","46","Male","M",8433,1954487,431.469,422.260,440.678
"Total","2022","2022","46 years","46",,,13345,3891868,342.894,337.077,348.712
,"2022","2022","47 years","47","Female","F",5350,1960166,272.936,265.622,280.250
,"2022","2022","47 years","47","Male","M",9264,1975285,468.996,459.445,478.546
"Total","2022","2022","47 years","47",,,14614,3935451,371.342,365.322,377.363
,"2022","2022","48 years","48","Female","F",5675,1924101,294.943,287.269,302.617
,"2022","2022","48 years","48","Male","M",9624,1935301,497.287,487.352,507.222
"Total","2022","2022","48 years","48",,,15299,3859402,396.409,390.127,402.690
,"2022","2022","49 years","49","Female","F",6339,1951275,324.865,316.867,332.862
,"2022","2022","49 years","49","Male","M",10375,1956964,530.158,519.956,540.360
"Total","2022","2022","49 years","49",,,16714,3908239,427.661,421.177,434.144
,"2022","2022","50 years","50","Female","F",7056,2040909,345.728,337.661,353.795
,"2022","2022","50 years","50","Male","M",11660,2053180,567.900,557.591,578.208
"Total","2022","2022","50 years","50",,,18716,4094089,457.147,450.597,463.696
,"2022","2022","51 years","51","Female","F",7870,2156241,364.987,356.923,373.051
,"2022","2022","51 years","51","Male","M",13156,2178352,603.943,593.623,614.263
"Total","2022","2022","51 years","51",,,21026,4334593,485.074,478.518,491.631
,"2022","2022","52 years","52","Female","F",8419,2123555,396.458,387.989,404.927
,"2022","2022","52 years","52","Male","M",14024,2141727,654.799,643.961,665.636
"Total","2022","2022","52 years","52",,,22443,4265282,526.179,519.294,533.063
,"2022","2022","53 years","53","Female","F",8685,2046824,424.316,415.392,433.240
,"2022","2022","53 years","53","Male","M",14551,2055311,707.971,696.467,719.474
"Total","2022","2022","53 years","53",,,23236,4102135,566.437,559.153,573.720
,"2022","2022","54 years","54","Female","F",9389,2005377,468.191,458.721,477.662
,"2022","2022","54 years","54","Male","M",15331,2006071,764.230,752.133,776.328
"Total","2022","2022","54 years","54",,,24720,4011448,616.236,608.554,623.918
,"2022","2022","55 years","55","Female","F",10306,2018767,510.510,500.653,520.366
,"2022","2022","55 years","55","Male","M",16922,2002636,844.986,832.255,857.718
"Total","2022","2022","55 years","55",,,27228,4021403,677.077,669.035,685.120
,"2022","2022","56 years","56","Female","F",11342,2050086,553.245,543.063,563.427
,"2022","2022","56 years","56","Male","M",18343,2025685,905.521,892.416,918.625
"Total","2022","2022","56 years","56",,,29685,4075771,728.328,720.043,736.614
,"2022","2022","57 years","57","Female","F",12992,2138607,607.498,597.052,617.945
,"2022","2022","57 years","57","Male","M",20526,2089903,982.151,968.714,995.587
"Total","2022","2022","57 years","57",,,33518,4228510,792.667,784.181,801.153
,"2022","2022","58 years","58","Female","F",14391,2190300,657.033,646.298,667.768
,"2022","2022","58 years","58","Male","M",22995,2132414,1078.355,1064.417,1092.293
"Total","2022","2022","58 years","58",,,37386,4322714,864.873,856.106,873.640
,"2022","2022","59 years","59","Female","F",15770,2195331,718.343,707.131,729.554
,"2022","2022","59 years","59","Male","M",24736,2123285,1164.987,1150.469,1179.505
"Total","2022","2022","59 years","59",,,40506,4318616,937.939,928.805,947.074
,"2022","2022","60 years","60","Female","F",16993,2204049,770.990,759.398,782.582
,"2022","2022","60 years","60","Male","M",26822,2123424,1263.149,1248.032,1278.266
"Total","2022","2022","60 years","60",,,43815,4327473,1012.485,1003.004,1021.965
,"2022","2022","61 years","61","Female","F",18500,2203294,839.652,827.552,851.751
,"2022","2022","61 years","61","Male","M",28385,2110242,1345.106,1329.458,1360.755
"Total","2022","2022","61 years","61",,,46885,4313536,1086.927,1077.089,1096.766
,"2022","2022","62 years","62","Female","F",19723,2165443,910.807,898.095,923.518
,"2022","2022","62 years","62","Male","M",30164,2065836,1460.135,1443.657,1476.613
"Total","2022","2022","62 years","62",,,49887,4231279,1179.005,1168.659,1189.351
,"2022","2022","63 years","63","Female","F",21064,2131251,988.340,974.992,1001.687
,"2022","2022","63 years","63","Male","M",31688,2012947,1574.209,1556.876,1591.542
"Total","2022","2022","63 years","63",,,52752,4144198,1272.912,1262.050,1283.775
,"2022","2022","64 years","64","Female","F",22182,2116406,1048.098,1034.305,1061.891
,"2022","2022","64 years","64","Male","M",33697,1985531,1697.128,1679.007,1715.249
"Total","2022","2022","64 years","64",,,55879,4101937,1362.259,1350.964,1373.554
,"2022","2022","65 years","65","Female","F",23411,2083789,1123.482,1109.091,1137.874
,"2022","2022","65 years","65","Male","M",34838,1936851,1798.693,1779.805,1817.581
"Total","2022","2022","65 years","65",,,58249,4020640,1448.749,1436.984,1460.515
,"2022","2022","66 years","66","Female","F",24270,1999568,1213.762,1198.492,1229.033
,"2022","2022","66 years","66","Male","M",35077,1833694,1912.915,1892.896,1932.933
"Total","2022","2022","66 years","66",,,59347,3833262,1548.211,1535.755,1560.668
,"2022","2022","67 years","67","Female","F",24749,1957925,1264.042,1248.294,1279.791
,"2022","2022","67 years","67","Male","M",36135,1779401,2030.740,2009.801,2051.678
"Total","2022","2022","67 years","67",,,60884,3737326,1629.079,1616.139,1642.020
,"2022","2022","68 years","68","Female","F",25871,1895177,1365.097,1348.462,1381.731
,"2022","2022","68 years","68","Male","M",37067,1703295,2176.194,2154.039,2198.348
"Total","2022","2022","68 years","68",,,62938,3598472,1749.020,1735.356,1762.685
,"2022","2022","69 years","69","Female","F",27139,1821062,1490.284,1472.553,1508.015
,"2022","2022","69 years","69","Male","M",37608,1620660,2320.536,2297.083,2343.989
"Total","2022","2022","69 years","69",,,64747,3441722,1881.239,1866.748,1895.729
,"2022","2022","70 years","70","Female","F",28533,1755076,1625.742,1606.878,1644.606
,"2022","2022","70 years","70","Male","M",38582,1550197,2488.845,2464.010,2513.680
"Total","2022","2022","70 years","70",,,67115,3305273,2030.543,2015.181,2045.906
,"2022","2022","71 years","71","Female","F",29216,1679574,1739.489,1719.542,1759.435
,"2022","2022","71 years","71","Male","M",39436,1461923,2697.543,2670.919,2724.167
"Total","2022","2022","71 years","71",,,68652,3141497,2185.328,2168.980,2201.675
,"2022","2022","72 years","72","Female","F",30871,1603593,1925.114,1903.639,1946.590
,"2022","2022","72 years","72","Male","M",39971,1385218,2885.539,2857.250,2913.827
"Total","2022","2022","72 years","72",,,70842,2988811,2370.240,2352.786,2387.695
,"2022","2022","73 years","73","Female","F",33225,1560510,2129.112,2106.218,2152.006
,"2022","2022","73 years","73","Male","M",41940,1337885,3134.799,3104.796,3164.801
"Total","2022","2022","73 years","73",,,75165,2898395,2593.332,2574.792,2611.872
,"2022","2022","74 years","74","Female","F",36311,1521493,2386.537,2361.990,2411.085
,"2022","2022","74 years","74","Male","M",44331,1301548,3406.021,3374.315,3437.728
"Total","2022","2022","74 years","74",,,80642,2823041,2856.565,2836.849,2876.281
,"2022","2022","75 years","75","Female","F",39505,1588461,2486.998,2462.474,2511.523
,"2022","2022","75 years","75","Male","M",48375,1370943,3528.593,3497.148,3560.038
"Total","2022","2022","75 years","75",,,87880,2959404,2969.517,2949.883,2989.150
,"2022","2022","76 years","76","Female","F",34082,1138462,2993.688,2961.905,3025.471
,"2022","2022","76 years","76","Male","M",40026,944972,4235.681,4194.185,4277.177
"Total","2022","2022","76 years","76",,,74108,2083434,3557.012,3531.402,3582.622
,"2022","2022","77 years","77","Female","F",35375,1093450,3235.173,3201.459,3268.887
,"2022","2022","77 years","77","Male","M",40495,892694,4536.269,4492.086,4580.452
"Total","2022","2022","77 years","77",,,75870,1986144,3819.965,3792.783,3847.147
,"2022","2022","78 years","78","Female","F",38561,1061874,3631.410,3595.164,3667.656
,"2022","2022","78 years","78","Male","M",43235,853900,5063.239,5015.512,5110.967
"Total","2022","2022","78 years","78",,,81796,1915774,4269.606,4240.346,4298.866
,"2022","2022","79 years","79","Female","F",41860,1069067,3915.564,3878.053,3953.074
,"2022","2022","79 years","79","Male","M",46078,847177,5439.005,5389.343,5488.668
"Total","2022","2022","79 years","79",,,87938,1916244,4589.082,4558.750,4619.413
,"2022","2022","80 years","80","Female","F",40776,915428,4454.310,4411.075,4497.545
,"2022","2022","80 years","80","Male","M",43738,708405,6174.152,6116.288,6232.015
"Total","2022","2022","80 years","80",,,84514,1623833,5204.599,5169.510,5239.689
,"2022","2022","81 years","81","Female","F",40304,822329,4901.201,4853.351,4949.052
,"2022","2022","81 years","81","Male","M",41904,619177,6767.693,6702.894,6832.492
"Total","2022","2022","81 years","81",,,82208,1441506,5702.925,5663.940,5741.910
,"2022","2022","82 years","82","Female","F",40766,752661,5416.250,5363.672,5468.828
,"2022","2022","82 years","82","Male","M",41117,550678,7466.614,7394.442,7538.786
"Total","2022","2022","82 years","82",,,81883,1303339,6282.556,6239.523,6325.588
,"2022","2022","83 years","83","Female","F",42321,695102,6088.459,6030.451,6146.467
,"2022","2022","83 years","83","Male","M",41464,498171,8323.246,8243.132,8403.361
"Total","2022","2022","83 years","83",,,83785,1193273,7021.444,6973.900,7068.989
,"2022","2022","84 years","84","Female","F",43846,648866,6757.327,6694.077,6820.578
,"2022","2022","84 years","84","Male","M",41075,448728,9153.652,9065.128,9242.176
"Total","2022","2022","84 years","84",,,84921,1097594,7737.014,7684.976,7789.052
,"2022","2022","85 years","85","Female","F",43977,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","85 years","85","Male","M",39709,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","85 years","85",,,83686,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","86 years","86","Female","F",44784,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","86 years","86","Male","M",38934,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","86 years","86",,,83718,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","87 years","87","Female","F",45329,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","87 years","87","Male","M",38050,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","87 years","87",,,83379,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","88 years","88","Female","F",44475,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","88 years","88","Male","M",35065,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","88 years","88",,,79540,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","89 years","89","Female","F",44654,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","89 years","89","Male","M",33457,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","89 years","89",,,78111,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","90 years","90","Female","F",44409,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","90 years","90","Male","M",31735,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","90 years","90",,,76144,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","91 years","91","Female","F",43422,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","91 years","91","Male","M",29234,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","91 years","91",,,72656,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","92 years","92","Female","F",41942,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","92 years","92","Male","M",26223,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","92 years","92",,,68165,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","93 years","93","Female","F",38121,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","93 years","93","Male","M",22524,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","93 years","93",,,60645,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","94 years","94","Female","F",35346,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","94 years","94","Male","M",19060,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","94 years","94",,,54406,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","95 years","95","Female","F",31366,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","95 years","95","Male","M",15394,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","95 years","95",,,46760,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","96 years","96","Female","F",26295,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","96 years","96","Male","M",11921,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","96 years","96",,,38216,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","97 years","97","Female","F",22019,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","97 years","97","Male","M",8860,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","97 years","97",,,30879,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","98 years","98","Female","F",17430,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","98 years","98","Male","M",6537,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","98 years","98",,,23967,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","99 years","99","Female","F",13112,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","99 years","99","Male","M",4462,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","99 years","99",,,17574,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","100+ years","100","Female","F",28009,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","100+ years","100","Male","M",7436,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","100+ years","100",,,35445,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Not Stated","NS","Female","F",16,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"2022","2022","Not Stated","NS","Male","M",87,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022","Not Stated","NS",,,103,Not Applicable,Not Applicable,Not Applicable,Not Applicable
"Total","2022","2022",,,,,3279857,333287557,984.092,983.027,985.157
,"2023","2023","< 1 year","0","Female","F",9038,1784146,506.573,496.129,517.017
,"2023","2023","< 1 year","0","Male","M",11107,1864508,595.707,584.628,606.785
"Total","2023","2023","< 1 year","0",,,20145,3648654,552.121,544.497,559.746
,"2023","2023","1 year","1","Female","F",699,1806761,38.688,35.820,41.556
,"2023","2023","1 year","1","Male","M",892,1887461,47.259,44.158,50.361
"Total","2023","2023","1 year","1",,,1591,3694222,43.067,40.951,45.184
,"2023","2023","2 years","2","Female","F",419,1764724,23.743,21.470,26.017
,"2023","2023","2 years","2","Male","M",627,1847159,33.944,31.287,36.601
"Total","2023","2023","2 years","2",,,1046,3611883,28.960,27.205,30.715
,"2023","2023","3 years","3","Female","F",345,1832223,18.830,16.843,20.817
,"2023","2023","3 years","3","Male","M",457,1915584,23.857,21.670,26.044
"Total","2023","2023","3 years","3",,,802,3747807,21.399,19.918,22.880
,"2023","2023","4 years","4","Female","F",267,1863907,14.325,12.606,16.043
,"2023","2023","4 years","4","Male","M",353,1944687,18.152,16.258,20.046
"Total","2023","2023","4 years","4",,,620,3808594,16.279,14.998,17.560
,"2023","2023","5 years","5","Female","F",271,1904677,14.228,12.534,15.922
,"2023","2023","5 years","5","Male","M",335,1991400,16.822,15.021,18.624
"Total","2023","2023","5 years","5",,,606,3896077,15.554,14.316,16.793
,"2023","2023","6 years","6","Female","F",221,1940157,11.391,9.889,12.893
,"2023","2023","6 years","6","Male","M",277,2032840,13.626,12.022,15.231
"Total","2023","2023","6 years","6",,,498,3972997,12.535,11.434,13.636
,"2023","2023","7 years","7","Female","F",205,1992913,10.286,8.878,11.695
,"2023","2023","7 years","7","Male","M",265,2082645,12.724,11.192,14.256
"Total","2023","2023","7 years","7",,,470,4075558,11.532,10.490,12.575
,"2023","2023","8 years","8","Female","F",210,2010922,10.443,9.031,11.855
,"2023","2023","8 years","8","Male","M",247,2099576,11.764,10.297,13.231
"Total","2023","2023","8 years","8",,,457,4110498,11.118,10.099,12.137
,"2023","2023","9 years","9","Female","F",200,1999368,10.003,8.617,11.390
,"2023","2023","9 years","9","Male","M",271,2098259,12.915,11.378,14.453
"Total","2023","2023","9 years","9",,,471,4097627,11.494,10.456,12.533
,"2023","2023","10 years","10","Female","F",195,1996583,9.767,8.396,11.138
,"2023","2023","10 years","10","Male","M",260,2086861,12.459,10.944,13.973
"Total","2023","2023","10 years","10",,,455,4083444,11.143,10.119,12.166
,"2023","2023","11 years","11","Female","F",234,1996442,11.721,10.219,13.223
,"2023","2023","11 years","11","Male","M",301,2093367,14.379,12.754,16.003
"Total","2023","2023","11 years","11",,,535,4089809,13.081,11.973,14.190
,"2023","2023","12 years","12","Female","F",246,2013129,12.220,10.693,13.747
,"2023","2023","12 years","12","Male","M",357,2120895,16.833,15.086,18.579
"Total","2023","2023","12 years","12",,,603,4134024,14.586,13.422,15.751
,"2023","2023","13 years","13","Female","F",300,2057895,14.578,12.928,16.228
,"2023","2023","13 years","13","Male","M",513,2161119,23.738,21.684,25.792
"Total","2023","2023","13 years","13",,,813,4219014,19.270,17.945,20.595
,"2023","2023","14 years","14","Female","F",405,2102597,19.262,17.386,21.138
,"2023","2023","14 years","14","Male","M",692,2205676,31.374,29.036,33.711
"Total","2023","2023","14 years","14",,,1097,4308273,25.463,23.956,26.969
,"2023","2023","15 years","15","Female","F",509,2181907,23.328,21.302,25.355
,"2023","2023","15 years","15","Male","M",1038,2290485,45.318,42.561,48.075
"Total","2023","2023","15 years","15",,,1547,4472392,34.590,32.866,36.314
,"2023","2023","16 years","16","Female","F",579,2178189,26.582,24.417,28.747
,"2023","2023","16 years","16","Male","M",1463,2287751,63.949,60.672,67.226
"Total","2023","2023","16 years","16",,,2042,4465940,45.724,43.741,47.707
,"2023","2023","17 years","17","Female","F",687,2146325,32.008,29.615,34.402
,"2023","2023","17 years","17","Male","M",1810,2248723,80.490,76.782,84.198
"Total","2023","2023","17 years","17",,,2497,4395048,56.814,54.585,59.042
,"2023","2023","18 years","18","Female","F",831,2128851,39.035,36.381,41.689
,"2023","2023","18 years","18","Male","M",2334,2228634,104.728,100.479,108.977
"Total","2023","2023","18 years","18",,,3165,4357485,72.634,70.103,75.164
,"2023","2023","19 years","19","Female","F",901,2143573,42.033,39.288,44.777
,"2023","2023","19 years","19","Male","M",2625,2241042,117.133,112.652,121.614
"Total","2023","2023","19 years","19",,,3526,4384615,80.418,77.763,83.072
,"2023","2023","20 years","20","Female","F",915,2124351,43.072,40.281,45.863
,"2023","2023","20 years","20","Male","M",2716,2219541,122.368,117.766,126.970
"Total","2023","2023","20 years","20",,,3631,4343892,83.589,80.870,86.308
,"2023","2023","21 years","21","Female","F",1016,2115763,48.021,45.068,50.973
,"2023","2023","21 years","21","Male","M",2961,2206893,134.171,129.338,139.003
"Total","2023","2023","21 years","21",,,3977,4322656,92.004,89.144,94.863
,"2023","2023","22 years","22","Female","F",1134,2156136,52.594,49.533,55.655
,"2023","2023","22 years","22","Male","M",3123,2246218,139.034,134.157,143.910
"Total","2023","2023","22 years","22",,,4257,4402354,96.698,93.793,99.603
,"2023","2023","23 years","23","Female","F",1157,2159282,53.583,50.495,56.670
,"2023","2023","23 years","23","Male","M",3256,2245959,144.971,139.992,149.951
"Total","2023","2023","23 years","23",,,4413,4405241,100.176,97.220,103.132
,"2023","2023","24 years","24","Female","F",1314,2128829,61.724,58.387,65.062
,"2023","2023","24 years","24","Male","M",3342,2208200,151.345,146.214,156.476
"Total","2023","2023","24 years","24",,,4656,4337029,107.355,104.271,110.438
,"2023","2023","25 years","25","Female","F",1280,2128333,60.141,56.846,63.436
,"2023","2023","25 years","25","Male","M",3586,2201762,162.870,157.539,168.200
"Total","2023","2023","25 years","25",,,4866,4330095,112.376,109.219,115.534
,"2023","2023","26 years","26","Female","F",1397,2137861,65.346,61.919,68.772
,"2023","2023","26 years","26","Male","M",3727,2202223,169.238,163.805,174.672
"Total","2023","2023","26 years","26",,,5124,4340084,118.062,114.830,121.295
,"2023","2023","27 years","27","Female","F",1464,2151129,68.057,64.571,71.544
,"2023","2023","27 years","27","Male","M",4036,2217412,182.014,176.399,187.629
"Total","2023","2023","27 years","27",,,5500,4368541,125.900,122.573,129.228
,"2023","2023","28 years","28","Female","F",1630,2190074,74.427,70.814,78.040
,"2023","2023","28 years","28","Male","M",4309,2253574,191.207,185.498,196.917
"Total","2023","2023","28 years","28",,,5939,4443648,133.651,130.252,137.051
,"2023","2023","29 years","29","Female","F",1843,2235065,82.458,78.694,86.223
,"2023","2023","29 years","29","Male","M",4503,2300927,195.704,189.988,201.420
"Total","2023","2023","29 years","29",,,6346,4535992,139.903,136.461,143.345
,"2023","2023","30 years","30","Female","F",2033,2270957,89.522,85.630,93.413
,"2023","2023","30 years","30","Male","M",4940,2336026,211.470,205.573,217.367
"Total","2023","2023","30 years","30",,,6973,4606983,151.357,147.805,154.910
,"2023","2023","31 years","31","Female","F",2213,2327816,95.068,91.107,99.029
,"2023","2023","31 years","31","Male","M",5343,2380812,224.419,218.402,230.437
"Total","2023","2023","31 years","31",,,7556,4708628,160.471,156.853,164.090
,"2023","2023","32 years","32","Female","F",2427,2366074,102.575,98.494,106.656
,"2023","2023","32 years","32","Male","M",5598,2409471,232.333,226.247,238.419
"Total","2023","2023","32 years","32",,,8025,4775545,168.044,164.367,171.720
,"2023","2023","33 years","33","Female","F",2611,2373133,110.023,105.803,114.244
,"2023","2023","33 years","33","Male","M",5937,2412004,246.144,239.883,252.405
"Total","2023","2023","33 years","33",,,8548,4785137,178.636,174.849,182.423
,"2023","2023","34 years","34","Female","F",2718,2302887,118.026,113.589,122.463
,"2023","2023","34 years","34","Male","M",5854,2344976,249.640,243.245,256.035
"Total","2023","2023","34 years","34",,,8572,4647863,184.429,180.525,188.333
,"2023","2023","35 years","35","Female","F",2808,2260999,124.193,119.599,128.787
,"2023","2023","35 years","35","Male","M",6018,2301606,261.470,254.863,268.076
"Total","2023","2023","35 years","35",,,8826,4562605,193.442,189.406,197.478
,"2023","2023","36 years","36","Female","F",2722,2230154,122.054,117.469,126.640
,"2023","2023","36 years","36","Male","M",6103,2278841,267.812,261.092,274.531
"Total","2023","2023","36 years","36",,,8825,4508995,195.720,191.636,199.803
,"2023","2023","37 years","37","Female","F",3076,2231923,137.818,132.948,142.689
,"2023","2023","37 years","37","Male","M",6437,2283377,281.907,275.020,288.794
"Total","2023","2023","37 years","37",,,9513,4515300,210.684,206.450,214.917
,"2023","2023","38 years","38","Female","F",3270,2231776,146.520,141.498,151.542
,"2023","2023","38 years","38","Male","M",6505,2276417,285.756,278.812,292.700
"Total","2023","2023","38 years","38",,,9775,4508193,216.827,212.529,221.126
,"2023","2023","39 years","39","Female","F",3295,2187712,150.614,145.471,155.757
,"2023","2023","39 years","39","Male","M",6749,2223839,303.484,296.244,310.725
"Total","2023","2023","39 years","39",,,10044,4411551,227.675,223.222,232.128
,"2023","2023","40 years","40","Female","F",3765,2220019,169.593,164.176,175.010
,"2023","2023","40 years","40","Male","M",7108,2252586,315.548,308.213,322.884
"Total","2023","2023","40 years","40",,,10873,4472605,243.102,238.533,247.672
,"2023","2023","41 years","41","Female","F",3863,2216440,174.288,168.792,179.785
,"2023","2023","41 years","41","Male","M",7289,2244111,324.806,317.349,332.262
"Total","2023","2023","41 years","41",,,11152,4460551,250.014,245.374,254.654
,"2023","2023","42 years","42","Female","F",4062,2184254,185.967,180.248,191.686
,"2023","2023","42 years","42","Male","M",7605,2208359,344.373,336.633,352.113
"Total","2023","2023","42 years","42",,,11667,4392613,265.605,260.785,270.425
,"2023","2023","43 years","43","Female","F",4216,2174636,193.872,188.019,199.724
,"2023","2023","43 years","43","Male","M",7952,2195356,362.219,354.258,370.181
"Total","2023","2023","43 years","43",,,12168,4369992,278.444,273.497,283.392
