Year Code,Single-Year Ages Code,Sex Code,Deaths,Population
1999.0,58,T,21328,2412512
1999.0,59,F,9009,1206474
1999.0,59,M,13420,1110934
1999.0,59,T,22429,2317408
1999.0,60,F,9504,1205799
1999.0,60,M,14016,1107631
1999.0,60,T,23520,2313430
1999.0,61,F,10206,1138272
1999.0,61,M,14881,1040279
1999.0,61,T,25087,2178551
1999.0,62,F,10734,1089367
1999.0,62,M,15506,986960
1999.0,62,T,26240,2076327
1999.0,63,F,11590,1083500
1999.0,63,M,16626,971465
1999.0,63,T,28216,2054965
1999.0,64,F,12778,1096791
1999.0,64,M,18254,973141
1999.0,64,T,31032,2069932
1999.0,65,F,13404,1018034
1999.0,65,M,18538,895420
1999.0,65,T,31942,1913454
1999.0,66,F,14491,1018914
1999.0,66,M,19743,877447
1999.0,66,T,34234,1896361
1999.0,67,F,15509,1035759
1999.0,67,M,21115,880924
1999.0,67,T,36624,1916683
1999.0,68,F,16988,1038635
1999.0,68,M,23073,879176
1999.0,68,T,40061,1917811
1999.0,69,F,18774,1030646
1999.0,69,M,25060,866543
1999.0,69,T,43834,1897189
1999.0,70,F,19954,1036615
1999.0,70,M,25849,835920
1999.0,70,T,45803,1872535
1999.0,71,F,21793,1013700
1999.0,71,M,28204,817115
1999.0,71,T,49997,1830815
1999.0,72,F,23669,984670
1999.0,72,M,29893,766712
1999.0,72,T,53562,1751382
1999.0,73,F,25383,969353
1999.0,73,M,31073,745037
1999.0,73,T,56456,1714390
1999.0,74,F,27715,979098
1999.0,74,M,32372,729191
1999.0,74,T,60087,1708289
1999.0,75,F,29240,947146
1999.0,75,M,33584,690588
1999.0,75,T,62824,1637734
1999.0,76,F,30499,899769
1999.0,76,M,33944,639518
1999.0,76,T,64443,1539287
1999.0,77,F,32953,882594
1999.0,77,M,35701,616768
1999.0,77,T,68654,1499362
1999.0,78,F,34756,837925
1999.0,78,M,36020,569315
1999.0,78,T,70776,1407240
1999.0,79,F,36048,763787
1999.0,79,M,35604,495196
1999.0,79,T,71652,1258983
1999.0,80,F,36414,729846
1999.0,80,M,33930,459536
1999.0,80,T,70344,1189382
1999.0,81,F,37609,653248
1999.0,81,M,34429,394017
1999.0,81,T,72038,1047265
1999.0,82,F,38957,610394
1999.0,82,M,33404,361782
1999.0,82,T,72361,972176
1999.0,83,F,39836,563499
1999.0,83,M,32623,311593
1999.0,83,T,72459,875092
1999.0,84,F,41308,522990
1999.0,84,M,31731,275403
1999.0,84,T,73039,798393
1999.0,85,F,41775,Not Applicable
1999.0,85,M,30524,Not Applicable
1999.0,85,T,72299,Not Applicable
1999.0,86,F,42335,Not Applicable
1999.0,86,M,27775,Not Applicable
1999.0,86,T,70110,Not Applicable
1999.0,87,F,40980,Not Applicable
1999.0,87,M,25418,Not Applicable
1999.0,87,T,66398,Not Applicable
1999.0,88,F,40513,Not Applicable
1999.0,88,M,22655,Not Applicable
1999.0,88,T,63168,Not Applicable
1999.0,89,F,38769,Not Applicable
1999.0,89,M,20159,Not Applicable
1999.0,89,T,58928,Not Applicable
1999.0,90,F,36153,Not Applicable
1999.0,90,M,17257,Not Applicable
1999.0,90,T,53410,Not Applicable
1999.0,91,F,34640,Not Applicable
1999.0,91,M,15012,Not Applicable
1999.0,91,T,49652,Not Applicable
1999.0,92,F,30736,Not Applicable
1999.0,92,M,12385,Not Applicable
